X,Y,TreeType,dbh_cm
328594.988,5529877.065,Honey Locust,8
328596.349,5529892.247,Honey Locust,8
328596.816,5529906.87,Honey Locust,8
328597.318,5529922.451,Honey Locust,8
328598.48,5529961.145,Honey Locust,8
328599.175,5529976.46,Honey Locust,8
328599.647,5529991.532,Honey Locust,8
328600.042,5530006.715,Honey Locust,8
328601.332,5530038.909,Honey Locust,8
328602.264,5530069.507,Honey Locust,8
328571.113,5529166.102,Honey Locust,10
328458.219,5528108.924,Ash,25
328460.738,5528125.413,Ash,20
328461.418,5528142.195,Ash,25
328483.899,5528158.093,Ash,10
328496.579,5528161.66,Ash,30
328476.464,5528131.827,Ash,25
328474.597,5528102.796,Ash,15
328474.303,5528087.19,Ash,20
328473.535,5528064.968,Ash,15
328473.29,5528044.216,Ash,10
328472.54,5528021.213,Ash,30
328472.433,5528009.499,Ash,20
328455.652,5528020.239,Ash,20
328470.58,5527971.207,Ash,15
328469.32,5527936.597,Ash,15
328469.073,5527919.685,Ash,25
328468.897,5527906.844,Ash,25
328467.723,5527890.223,Ash,15
328466.688,5527874.734,Ash,15
328568.322,5529848.026,Maple,8
328569.09,5529835.163,Maple,8
328568.172,5529824.487,Maple,8
328567.689,5529811.28,Maple,8
328567.855,5529799.919,Maple,10
328448.69,5527851.468,Lilac,5
328448.223,5527834.745,Lilac,5
328466.748,5527843.632,Ash,10
328465.506,5527861.584,Ash,25
328403.449,5527862.092,Ash,25
328433.037,5527861.691,Ash,15
328317.807,5527849.301,Ash,30
328336.401,5527852.727,Ash,20
328356.965,5527857.458,Ash,20
328385.238,5527860.989,Ash,20
328375.887,5527874.317,Ash,25
328348.13,5527869.34,Ash,20
328318.973,5527865.338,Ash,15
328246.452,5527836.872,Ash,13
328266.97,5527840.463,Ash,10
328283.439,5527842.669,Ash,18
328299.449,5527847.013,Ash,18
328265.816,5527857.334,Ash,5
328246.535,5527852.951,Ash,5
328228.727,5527851.336,Ash,23
328445.818,5528383.436,Ash,13
328456.028,5528382.774,Ash,15
328465.969,5528382.033,Ash,13
328480.68,5528381.998,Ash,10
328494.377,5528381.01,Ash,15
328499.541,5528367.253,Ash,15
328489.019,5528367.69,Ash,20
328480.301,5528368.649,Ash,20
328454.847,5528369.321,Ash,25
328444.672,5528369.83,Ash,25
328401.892,5528386.199,Ash,18
328377.11,5528387.813,Ash,18
328358.429,5528387.843,Ash,30
328335.334,5528388.393,Ash,30
328314.571,5528390.708,Ash,25
328293.281,5528391.06,Ash,25
328267.868,5528391.443,Ash,30
328245.251,5528389.575,Ash,30
328214.66,5528388.307,Ash,13
328205.389,5528388.473,Ash,15
328196.573,5528387.543,Ash,15
328177.199,5528382.713,Ash,30
328165.295,5528380.042,Ash,30
328171.744,5528367.682,Ash,13
328185.582,5528371.958,Ash,20
328196.257,5528375.37,Ash,20
328212.476,5528375.549,Ash,25
328237.235,5528374.826,Ash,20
328258.292,5528375.844,Ash,20
328275.661,5528376.92,Ash,25
328299.245,5528375.804,Ash,28
328320.75,5528374.58,Ash,25
328340.952,5528374.995,Ash,15
328384.987,5528372.441,Ash,25
328405.923,5528371.883,Ash,20
328128.84,5528698.496,Ash,20
328130.102,5528738.203,Ash,20
328131.813,5528786.082,Ash,25
328130.394,5528798.356,Ash,25
328122.162,5528825.992,Ash,10
328115.363,5528798.576,Ash,10
328117.872,5528779.179,Ash,20
328114.002,5528673.724,Ash,30
328112.984,5528653.367,Ash,25
328103.677,5528592.413,Ash,20
328126.671,5528656.121,Ash,20
328090.221,5528544.144,Ash,25
328090.66,5528518.821,Ash,25
328091.745,5528509.854,Ash,30
328096.878,5528485.824,Cherry/Plum,8
328099.882,5528477.888,Cherry/Plum,8
328105.219,5528461.682,Cherry/Plum,8
328108.68,5528450.066,Ash,20
328118.149,5528418.979,Ash,15
328124.178,5528397.611,Ash,25
328143.935,5528380.06,Ash,10
328139.437,5528396.507,Ash,8
328134.225,5528413.966,Ash,36
328119.735,5528463.79,Ash,30
328191.746,5528210.27,Ash,36
328188.02,5528222.15,Ash,36
328184.305,5528240.171,Ash,30
328178.199,5528260.212,Ash,30
328171.528,5528282.048,Ash,25
328166.31,5528302.326,Ash,25
328159.954,5528325.703,Ash,38
328136.722,5528349.833,Ash,25
328144.986,5528326.267,Ash,20
328150.126,5528306.036,Ash,20
328156.293,5528283.967,Ash,20
