latitude,longitude,elevation,slope_percentperyear
53.7166666666667,-126.416666666667,1489,-0.12733622284184
53.5833333333333,-127.633333333333,1319,0.199318961296644
53.35,-125.266666666667,1596,-0.170294275855735
53.45,-126.283333333333,1502,-0.227871070380208
49.8,-120.866666666667,994,-0.99319236865942
50.6833333333333,-122.616666666667,1715,-0.478022618631223
50.9,-121.816666666667,1209,-4.74345730027548
53.0166666666667,-123.65,1029,-1.4765057113188
52.7333333333333,-120.55,1687,0.0371284831158215
50.7833333333333,-122.733333333333,1980,-0.478000188839581
50.85,-123.166666666667,1884,-0.484905037513836
50.8333333333333,-123.45,1393,-0.534421330881508
51.1333333333333,-122.783333333333,1946,-0.506774226910746
49.5666666666667,-122.3,1211,-0.143579224965204
49.3166666666667,-122.066666666667,1147,-0.0178383768846603
50.1333333333333,-119.05,1262,-0.69268485765814
50.9833333333333,-119.183333333333,1168,-0.467532467532467
52.7666666666667,-119.266666666667,866,-2.40853746989933
51.25,-117.483333333333,1249,-0.134150900167613
51.3833333333333,-116.5,1310,-0.0489159769701333
51.4333333333333,-116.35,1648,-0.479463488630343
51.25,-117.5,2031,0
51.5,-118.516666666667,964,-0.0653184633774856
50.1833333333333,-118.016666666667,1476,-0.0869281045751635
50.0666666666667,-118.35,1598,-0.123426690640905
49.7166666666667,-117.966666666667,1813,-0.240980411246192
50.65,-115.95,1374,-0.649331613508443
49.7166666666667,-116,1580,-0.978712992414974
49.5,-115.033333333333,1213,-0.867942137190854
50.6666666666667,-117.466666666667,929,-0.156198561898987
49.4,-117.216666666667,952,-0.840950292036972
49.6,-116.683333333333,1558,-0.220458553791887
49.6,-116.65,1926,-0.255770324324062
49.8,-120,1304,-0.274435206360741
49.7833333333333,-119.183333333333,1266,-0.60290404040404
49.9833333333333,-119.2,1358,-0.341560310895063
49.6,-119.416666666667,1548,-0.0507762053121494
50.0166666666667,-119.733333333333,1789,-0.238611344930642
50.3666666666667,-119.05,1834,0.180807809415604
49.3833333333333,-123.066666666667,1126,0.101293017014409
50.25,-124.333333333333,882,-0.541589457694785
49.45,-123.016666666667,898,-0.205822890132909
49.3666666666667,-122.95,1007,-0.0570807955520176
49.65,-125.2,1110,-0.324359382289729
49.5166666666667,-125.7,1014,-0.129557238787268
49.7,-125.683333333333,1050,-0.24878923060545
49.25,-121.233333333333,801,-1.06831249749569
49.0333333333333,-120.85,1254,-0.718648939992814
49.1166666666667,-121.3,1134,-1.14326995001444
54.7166666666667,-121.216666666667,1566,-0.452674897119342
53.85,-127.433333333333,1415,0.142514412575644
53.7166666666667,-126.416666666667,1489,-0.13738896465298
53.5833333333333,-127.633333333333,1319,0.222222222222222
53.15,-126.866666666667,1413,0.153732998938941
50.7833333333333,-122.916666666667,1766,-0.479144085053918
49.2166666666667,-121.566666666667,1408,-0.167962188247614
49.0166666666667,-121.7,1621,-0.0116133228039206
50.4333333333333,-118.616666666667,1857,-0.108991521018595
51.0333333333333,-118.133333333333,1770,-0.155269563146181
50.0666666666667,-118.35,1595,-0.110118298514977
49.7,-125.666666666667,1422,-0.283794235067514
48.9666666666667,-124.266666666667,1134,-0.284558540258467
53.95,-121.433333333333,1693,-0.0314542340893998
53.7166666666667,-126.416666666667,1489,-0.243628185907046
53.5833333333333,-127.633333333333,1319,-0.0390378471928533
49.8,-120.866666666667,994,-0.937296239947838
50.6833333333333,-122.616666666667,1715,-0.520973416466306
50.9,-121.816666666667,1209,-6.77809219475886
53.0166666666667,-123.65,1029,-0.527272727272727
50.1333333333333,-119.05,1262,-1.18466898954704
50.9833333333333,-119.183333333333,1168,-0.54105959942092
52.7666666666667,-119.266666666667,866,-2.51004016064257
51.25,-117.483333333333,1249,-0.211909302818394
51.3833333333333,-116.5,1310,-0.519683695528501
51.4333333333333,-116.35,1648,-0.512092832592312
51.25,-117.5,2031,-0.0586579702189718
50.1833333333333,-118.016666666667,1476,-0.116914236395021
50.0666666666667,-118.35,1598,-0.200216186059486
50.65,-115.95,1374,-0.801924619085806
49.7166666666667,-116,1580,-0.850983358547655
49.5,-115.033333333333,1213,-0.798084596967279
50.6666666666667,-117.466666666667,929,-0.0137839118265282
49.4,-117.216666666667,952,-0.856875778977981
49.6,-116.683333333333,1558,-0.409116410111508
49.8,-120,1304,-0.398051518113315
49.7833333333333,-119.183333333333,1266,-1.0818234387047
49.9833333333333,-119.2,1358,-0.436394426069942
49.6,-119.416666666667,1548,-0.282605623851914
50.0166666666667,-119.733333333333,1789,-0.248442061240968
50.3666666666667,-119.05,1834,0.101511391833972
49.3833333333333,-123.066666666667,1126,-0.276020595593598
49.45,-123.016666666667,898,-0.626623506374136
49.3666666666667,-122.95,1007,-0.514668603296839
49.65,-125.2,1110,-0.411571461412395
49.0333333333333,-120.85,1254,-0.825227649006623
49.1166666666667,-121.3,1134,-1.40421066742476
53.85,-127.433333333333,1415,-0.0442688001545381
